date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:21	9556/9556	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/jquery.blockui.min.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/jquery.blockui.min.js	(from http://radixtouch.in/hospital/)
21:04:21	37045/37045	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/bootstrap/js/bootstrap.min.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/bootstrap/js/bootstrap.min.js	(from http://radixtouch.in/hospital/)
21:04:23	14903/14903	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/bootstrap-switch/js/bootstrap-switch.min.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/bootstrap-switch/js/bootstrap-switch.min.js	(from http://radixtouch.in/hospital/)
21:04:26	239045/239045	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/simple-line-icons/fonts/Simple-Line-Icons.svg?v=2.4.0	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/simple-line-icons/fonts/Simple-Line-Iconsb26c.svg	(from http://radixtouch.in/hospital/js/simple-line-icons/simple-line-icons.min.css)
21:04:26	17946/17946	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/counterup/jquery.waypoints.min.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/counterup/jquery.waypoints.min.js	(from http://radixtouch.in/hospital/)
21:04:26	86658/86658	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/js/jquery.min.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/jquery.min.js	(from http://radixtouch.in/hospital/)
21:04:27	1069/1069	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/counterup/jquery.counterup.min.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/counterup/jquery.counterup.min.js	(from http://radixtouch.in/hospital/)
21:04:28	13659/13659	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/js/jquery.slimscroll.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/jquery.slimscroll.js	(from http://radixtouch.in/hospital/)
21:04:32	77160/77160	---M--	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/fonts/fontawesome-webfont.woff2?v=4.7.0	/home/gaurav/websites/Hospital/radixtouch.in/hospital/fonts/fontawesome-webfont3e6e.html	(from http://radixtouch.in/hospital/css/font-awesome.min.css)
21:04:37	81332/81332	---M--	200	added ('OK')	application/font-woff	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/js/simple-line-icons/fonts/Simple-Line-Icons.woff?v=2.4.0	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/simple-line-icons/fonts/Simple-Line-Iconsb26c.woff	(from http://radixtouch.in/hospital/js/simple-line-icons/simple-line-icons.min.css)
21:04:44	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/fonts/fontawesome-webfont.eot?v=4.7.0	/home/gaurav/websites/Hospital/radixtouch.in/hospital/fonts/fontawesome-webfont3e6e.eot	(from http://radixtouch.in/hospital/css/font-awesome.min.css)
21:04:45	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/fonts/fontawesome-webfont.eot?	/home/gaurav/websites/Hospital/radixtouch.in/hospital/fonts/fontawesome-webfontd41d.eot	(from http://radixtouch.in/hospital/css/font-awesome.min.css)
21:04:49	30551/30551	UR-MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/js/app.js	/home/gaurav/websites/Hospital/radixtouch.in/hospital/js/app.js	(from http://radixtouch.in/hospital/)
